dataset,model,lang,precision_mean,precision_std,n_events
conflicts,gemma,en,0.7417,0.3253,10
conflicts,gemma,es,0.7105,0.3481,10
conflicts,llama,en,0.5758,0.3013,10
conflicts,llama,es,0.7418,0.3518,10
conflicts,qwen,en,0.7035,0.3577,10
conflicts,qwen,es,0.7145,0.3837,9
infrastructure_problems,gemma,en,0.5074,0.2046,10
infrastructure_problems,gemma,es,0.4433,0.2434,10
infrastructure_problems,llama,en,0.3953,0.1585,10
infrastructure_problems,llama,es,0.3903,0.1593,10
infrastructure_problems,qwen,en,0.4734,0.2539,10
infrastructure_problems,qwen,es,0.64,0.2493,10
natural_disasters,gemma,en,0.7952,0.1935,10
natural_disasters,gemma,es,0.8135,0.1945,10
natural_disasters,llama,en,0.7825,0.1251,10
natural_disasters,llama,es,0.7306,0.2115,10
natural_disasters,qwen,en,0.8649,0.1796,10
natural_disasters,qwen,es,0.869,0.1932,10
